Round,Client,Client Accuracy,Global Accuracy
1,1,0.6629318394024276,0.7288503253796096
1,2,0.7619047619047619,0.7288503253796096
1,3,0.7160148975791434,0.7288503253796096
2,1,0.7908496732026143,0.7114967462039046
2,2,0.8057889822595705,0.7114967462039046
2,3,0.7355679702048417,0.7114967462039046
3,1,0.8207282913165266,0.8546637744034707
3,2,0.838468720821662,0.8546637744034707
3,3,0.8240223463687151,0.8546637744034707
4,1,0.8506069094304388,0.8611713665943601
4,2,0.8636788048552755,0.8611713665943601
4,3,0.8566108007448789,0.8611713665943601
5,1,0.8440709617180205,0.8503253796095445
5,2,0.861811391223156,0.8503253796095445
5,3,0.8370577281191807,0.8503253796095445
6,1,0.8674136321195145,0.8763557483731019
6,2,0.876750700280112,0.8763557483731019
6,3,0.8696461824953445,0.8763557483731019
7,1,0.880485527544351,0.8937093275488069
7,2,0.8795518207282913,0.8937093275488069
7,3,0.8538175046554934,0.8937093275488069
8,1,0.896358543417367,0.9219088937093276
8,2,0.8795518207282913,0.9219088937093276
8,3,0.8957169459962756,0.9219088937093276
9,1,0.8870214752567693,0.9002169197396963
9,2,0.9150326797385621,0.9002169197396963
9,3,0.8985102420856611,0.9002169197396963
10,1,0.9047619047619048,0.9240780911062907
10,2,0.8972922502334267,0.9240780911062907
10,3,0.9013035381750466,0.9240780911062907
11,1,0.9084967320261438,0.9392624728850325
11,2,0.903828197945845,0.9392624728850325
11,3,0.8947858472998138,0.9392624728850325
12,1,0.8954248366013072,0.93058568329718
12,2,0.9187675070028011,0.93058568329718
12,3,0.9180633147113594,0.93058568329718
